GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Complete plumbing facilities,Margin of Error; Total: - Complete plumbing facilities,Estimate; Total: - Lacking complete plumbing facilities,Margin of Error; Total: - Lacking complete plumbing facilities
0400000US01,01,Alabama,2190027,209,2112516,5330,77511,5308
0400000US02,02,Alaska,307417,118,273562,1696,33855,1694
0400000US04,04,Arizona,2892359,448,2837395,2885,54964,2841
0400000US05,05,Arkansas,1329777,274,1281591,3218,48186,3247
0400000US06,06,California,13791262,659,13674593,5726,116669,5728
0400000US08,08,Colorado,2247291,365,2215830,3079,31461,3045
0400000US09,09,Connecticut,1488072,488,1472060,2406,16012,2384
0400000US10,10,Delaware,412015,82,407815,757,4200,761
0400000US11,11,District of Columbia,302975,82,301738,553,1237,546
0400000US12,12,Florida,9047973,677,8945252,6875,102721,6930
0400000US13,13,Georgia,4110162,454,4012143,6280,98019,6362
0400000US15,15,Hawaii,526305,118,519897,1097,6408,1087
0400000US16,16,Idaho,676192,151,664228,2284,11964,2294
0400000US17,17,Illinois,5289653,519,5186154,5153,103499,5257
0400000US18,18,Indiana,2809640,388,2733634,4364,76006,4466
0400000US19,19,Iowa,1349607,435,1326616,2591,22991,2635
0400000US20,20,Kansas,1239755,265,1206567,2779,33188,2801
0400000US21,21,Kentucky,1936634,375,1885962,3298,50672,3284
0400000US22,22,Louisiana,1990967,283,1928512,3677,62455,3706
0400000US23,23,Maine,723140,130,693169,2060,29971,2077
0400000US24,24,Maryland,2404177,294,2366018,3447,38159,3452
0400000US25,25,Massachusetts,2813641,270,2787587,3342,26054,3369
0400000US26,26,Michigan,4525266,593,4364413,5650,160853,5681
0400000US27,27,Minnesota,2368754,644,2328455,2460,40299,2378
0400000US28,28,Mississippi,1283192,201,1230134,4433,53058,4395
0400000US29,29,Missouri,2719109,265,2641260,4436,77849,4440
0400000US30,30,Montana,485767,162,468666,1861,17101,1854
0400000US31,31,Nebraska,806888,638,791021,1460,15867,1556
0400000US32,32,Nevada,1186936,122,1174363,1925,12573,1931
0400000US33,33,New Hampshire,616496,199,606489,1668,10007,1666
0400000US34,34,New Jersey,3578260,359,3521316,3914,56944,3919
0400000US35,35,New Mexico,905134,292,871684,2491,33450,2473
0400000US36,36,New York,8126399,557,8021723,5131,104676,5225
0400000US37,37,North Carolina,4394515,559,4318055,5029,76460,5031
0400000US38,38,North Dakota,339293,180,329346,1372,9947,1403
0400000US39,39,Ohio,5124126,417,4969951,7091,154175,7095
0400000US40,40,Oklahoma,1682358,207,1623434,3103,58924,3112
0400000US41,41,Oregon,1684107,180,1664704,2606,19403,2575
0400000US42,42,Pennsylvania,5565354,405,5419902,6521,145452,6452
0400000US44,44,Rhode Island,461658,77,456905,1341,4753,1350
0400000US45,45,South Carolina,2158784,213,2105460,4406,53324,4431
0400000US46,46,South Dakota,370207,292,361732,1369,8475,1375
0400000US47,47,Tennessee,2840998,322,2776123,4769,64875,4777
0400000US48,48,Texas,10256203,658,10023531,8854,232672,8866
0400000US49,49,Utah,1006164,170,996528,1487,9636,1477
0400000US50,50,Vermont,323936,138,316852,935,7084,946
0400000US51,51,Virginia,3412577,461,3367067,3847,45510,3797
0400000US53,53,Washington,2928300,262,2894501,3197,33799,3196
0400000US54,54,West Virginia,879424,204,833862,3465,45562,3446
0400000US55,55,Wisconsin,2633420,384,2591555,2456,41865,2473
0400000US56,56,Wyoming,265471,91,259461,1142,6010,1153
