GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With an Internet subscription:,Margin of Error; With an Internet subscription:,Estimate; With an Internet subscription: - Dial-up alone,Margin of Error; With an Internet subscription: - Dial-up alone,Estimate; With an Internet subscription: - DSL:,Margin of Error; With an Internet subscription: - DSL:,Estimate; With an Internet subscription: - DSL: - With mobile broadband,Margin of Error; With an Internet subscription: - DSL: - With mobile broadband,Estimate; With an Internet subscription: - DSL: - Without mobile broadband,Margin of Error; With an Internet subscription: - DSL: - Without mobile broadband,Estimate; With an Internet subscription: - Cable modem:,Margin of Error; With an Internet subscription: - Cable modem:,Estimate; With an Internet subscription: - Cable modem: - With mobile broadband,Margin of Error; With an Internet subscription: - Cable modem: - With mobile broadband,Estimate; With an Internet subscription: - Cable modem: - Without mobile broadband,Margin of Error; With an Internet subscription: - Cable modem: - Without mobile broadband,Estimate; With an Internet subscription: - Fiber-optic:,Margin of Error; With an Internet subscription: - Fiber-optic:,Estimate; With an Internet subscription: - Fiber-optic: - With mobile broadband,Margin of Error; With an Internet subscription: - Fiber-optic: - With mobile broadband,Estimate; With an Internet subscription: - Fiber-optic: - Without mobile broadband,Margin of Error; With an Internet subscription: - Fiber-optic: - Without mobile broadband,Estimate; With an Internet subscription: - Satellite Internet service:,Margin of Error; With an Internet subscription: - Satellite Internet service:,Estimate; With an Internet subscription: - Satellite Internet service: - With mobile broadband,Margin of Error; With an Internet subscription: - Satellite Internet service: - With mobile broadband,Estimate; With an Internet subscription: - Satellite Internet service: - Without mobile broadband,Margin of Error; With an Internet subscription: - Satellite Internet service: - Without mobile broadband,"Estimate; With an Internet subscription: - Two or more fixed broadband types, or other:","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other:","Estimate; With an Internet subscription: - Two or more fixed broadband types, or other: - With mobile broadband","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other: - With mobile broadband","Estimate; With an Internet subscription: - Two or more fixed broadband types, or other: - Without mobile broadband","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other: - Without mobile broadband",Estimate; With an Internet subscription: - Mobile broadband alone or with dialup,Margin of Error; With an Internet subscription: - Mobile broadband alone or with dialup,Estimate; Internet access without a subscription,Margin of Error; Internet access without a subscription,Estimate; No Internet access,Margin of Error; No Internet access
0400000US01,01,Alabama,1822439,11200,1179510,13632,23172,2344,326819,9089,110486,5345,216333,8257,485806,8757,192505,5953,293301,7339,31308,3036,14201,1814,17107,2357,45801,2700,14447,1668,31354,2352,146452,5497,68626,4039,77826,3968,120152,5622,92014,5553,550915,10608
0400000US02,02,Alaska,246015,2720,196522,3728,2231,569,53589,2926,20936,1953,32653,2387,91711,3188,44799,2897,46912,2926,1247,449,695,281,552,293,7367,1205,2472,827,4895,795,26434,2487,16800,1899,9634,1304,13943,1777,8519,1388,40974,2740
0400000US04,04,Arizona,2400809,11557,1796805,13584,21768,2232,353852,9052,113582,5446,240270,7904,993729,10820,382149,8360,611580,10502,31724,2990,14720,2049,17004,2202,69930,4127,19651,1525,50279,3820,195951,7613,95391,4438,100560,5012,129851,5520,108728,5480,495276,9723
0400000US05,05,Arkansas,1125899,6925,701461,8934,16133,1858,217392,7088,65866,3765,151526,6446,244282,6845,92289,4807,151993,5233,22502,2095,9609,1288,12893,1681,40588,3056,14637,2134,25951,2371,76949,3707,32788,2441,44161,2687,83615,3886,77170,4321,347268,8004
0400000US06,06,California,12650592,16944,9962427,25762,113377,4982,2329493,23496,899077,15442,1430416,16275,4602373,26747,2061959,21873,2540414,19558,715067,12520,328503,9329,386564,8275,268992,7131,98735,3639,170257,5868,1298763,18445,697965,13523,600798,11197,634362,12856,446350,10500,2241815,20495
0400000US08,08,Colorado,2002800,8550,1612142,11426,21521,2017,418886,9829,174613,6189,244273,7054,764873,11089,349187,8834,415686,9304,23745,2453,10700,1348,13045,1894,76680,4265,28676,2611,48004,3065,187289,6380,107489,4956,79800,4132,119148,5588,82691,4875,307967,8018
0400000US09,09,Connecticut,1339860,7005,1047564,9368,8604,1396,194116,6416,63325,3980,130791,5354,640187,10332,249651,7114,390536,9329,36875,2741,17431,1694,19444,2165,10823,1749,3634,940,7189,1461,117272,4892,60846,3658,56426,4074,39687,3067,47283,3938,245013,7416
0400000US10,10,Delaware,339071,3144,255564,4186,3089,714,23416,2472,6346,1070,17070,2133,129437,4344,45926,2925,83511,3632,54150,2986,19990,1698,34160,2729,3625,645,1566,439,2059,499,31076,2420,14223,1477,16853,1844,10771,1763,16880,2247,66627,3488
0400000US11,11,District of Columbia,271651,3228,201173,4137,1885,630,36784,2305,17126,1745,19658,1963,108855,4324,59331,3320,49524,3194,13608,1718,7919,1303,5689,1271,3201,952,1006,509,2195,755,24561,1756,14106,1795,10455,1193,12279,1888,16271,2573,54207,3373
0400000US12,12,Florida,7211584,26752,5423430,25464,65991,4110,1045526,17449,330970,9123,714556,13859,2857435,26016,1012908,16905,1844527,22299,365134,8621,155134,5259,210000,7259,104986,5514,39337,3299,65649,4264,703929,14463,335565,8593,368364,10555,280429,8181,305410,10670,1482744,15680
0400000US13,13,Georgia,3546965,15286,2589486,16593,27964,2809,775085,13157,280102,8827,494983,9720,1050725,14840,447301,11100,603424,12975,94676,5727,43624,3654,51052,4162,77187,4911,29482,3118,47705,3409,377643,10779,185314,8313,192329,7111,186206,9478,161966,6971,795513,12719
0400000US15,15,Hawaii,450120,4406,358307,5346,4369,919,56710,3129,23742,1777,32968,2655,235543,5742,111177,4887,124366,4267,5807,1232,2955,927,2852,755,4150,827,1645,572,2505,701,31049,2289,19118,1656,11931,1598,20679,2325,14243,2043,77570,3962
0400000US16,16,Idaho,588489,5467,440707,7475,9669,1572,131124,5439,42521,3213,88603,4776,161888,5931,61391,4378,100497,4588,8132,1407,2444,756,5688,1322,41343,3399,12777,2013,28566,2619,42577,3385,20591,2201,21986,2610,45974,3563,31642,3426,116140,5859
0400000US17,17,Illinois,4783421,13914,3585530,17757,47394,2608,822976,13211,300645,8861,522331,10034,1820225,15737,820886,13198,999339,13427,103263,4808,49760,3064,53503,4038,130431,4515,46818,2953,83613,3668,378052,8732,200409,6358,177643,6609,283189,8353,180781,5900,1017110,12638
0400000US18,18,Indiana,2498395,10688,1776032,13127,35856,2360,435768,10317,138021,5092,297747,9183,762487,12159,282218,7442,480269,9660,124406,6282,47416,3307,76990,4804,77345,4213,24841,2392,52504,3521,180509,5699,82894,3929,97615,4570,159661,6509,111320,5251,611043,9505
0400000US19,19,Iowa,1236209,7287,908887,9029,16772,1576,247240,6438,85497,4220,161743,5224,371038,6760,142968,5260,228070,6228,41593,2327,17189,1593,24404,1923,42039,2921,14513,1712,27526,2103,106220,4469,53541,2978,52679,3080,83985,4077,53135,3144,274187,6840
0400000US20,20,Kansas,1113729,6143,823869,7827,10718,1301,162185,5202,59366,3349,102819,3881,394072,7307,167033,5237,227039,6300,59198,3722,21803,2489,37395,2477,39120,2666,13363,1511,25757,2069,92059,3845,46238,2589,45821,2995,66517,3787,49085,3469,240775,7161
0400000US21,21,Kentucky,1705623,9376,1186285,11335,17918,1987,324892,7814,110972,5066,213920,5918,502331,9053,221062,6447,281269,7188,38157,2730,14956,1429,23201,2146,48666,3301,15672,2065,32994,2564,161453,5567,81437,3586,80016,4589,92868,5201,71803,4724,447535,9360
0400000US22,22,Louisiana,1728149,9677,1135663,12055,15801,1942,256057,7988,89273,4831,166784,6278,506836,10221,194049,7598,312787,8306,49001,4056,20707,2672,28294,2891,46349,2941,14627,2259,31722,2528,162666,6074,72156,4193,90510,4785,98953,5858,78497,4554,513989,8996
0400000US23,23,Maine,547686,5711,406411,6103,7145,844,96541,3335,23729,1708,72812,3027,224038,5848,79309,3653,144729,4466,5763,1146,2197,764,3566,871,12585,1117,3565,868,9020,977,37365,2606,16092,1814,21273,1981,22974,2294,22772,1929,118503,4144
0400000US24,24,Maryland,2161680,8942,1726888,10877,20298,2102,196867,5874,68281,3987,128586,4743,740420,10082,289532,7327,450888,8654,408841,7695,189823,6494,219018,5772,32187,2673,10785,1140,21402,2264,238004,7328,131012,5033,106992,5184,90271,4925,74662,5169,360130,7737
0400000US25,25,Massachusetts,2536321,9232,2035593,12794,17361,1800,228112,6967,76119,4195,151993,5531,1206397,11467,498566,8862,707831,11060,263826,5804,130578,5279,133248,4641,20604,1930,6963,1180,13641,1714,216976,7279,117000,5703,99976,5152,82317,4765,77727,4511,423001,9593
0400000US26,26,Michigan,3832466,10485,2758216,13501,48733,2608,474447,8598,165707,5187,308740,6345,1561035,12111,593493,11069,967542,11846,66574,4234,28300,2282,38274,3140,116106,3952,38263,2687,77843,2890,264884,7497,129790,4665,135094,5619,226437,7464,206871,5865,867379,9638
0400000US27,27,Minnesota,2119954,6871,1650171,9160,28741,1845,425619,8162,151684,5211,273935,6579,778532,9214,337230,7928,441302,7604,47198,2887,20256,1936,26942,1802,64839,3234,21448,1648,43391,2518,169491,5186,88118,3969,81373,3416,135751,5731,84652,3581,385131,7906
0400000US28,28,Mississippi,1091002,7807,640213,10472,14090,1794,191763,6055,64395,3548,127368,5124,198165,6950,74685,3906,123480,5430,15877,2004,7467,1433,8410,1442,41666,3654,13339,1902,28327,3124,93177,4984,48131,3250,45046,3965,85475,5068,62945,3895,387844,7963
0400000US29,29,Missouri,2362853,9949,1678456,12867,29211,2256,515778,9768,180090,6138,335688,7740,614142,11717,253364,6853,360778,9680,91598,4319,38765,2787,52833,3334,92552,4566,30311,2573,62241,3696,181747,6225,89847,3542,91900,4688,153428,5484,116718,5619,567679,8213
0400000US30,30,Montana,406288,3840,299783,5747,7044,1373,88787,4046,21115,1846,67672,3866,112609,4961,33201,2575,79408,4398,8129,1219,2178,594,5951,958,20049,1753,4626,964,15423,1477,37876,2863,15550,1842,22326,2076,25289,2372,16017,1902,90488,3912
0400000US31,31,Nebraska,730579,4441,541373,5325,8616,1078,105928,3557,33989,2453,71939,3035,285768,5476,98907,3046,186861,5406,15859,1575,4829,813,11030,1420,26314,2167,8016,1035,18298,1973,57227,2951,28240,1800,28987,2249,41661,2831,29161,2403,160045,4770
0400000US32,32,Nevada,1002571,7173,766888,9298,8854,1217,151031,6455,56090,3601,94941,4527,387334,8043,145956,4638,241378,6711,17063,1831,6197,1124,10866,1451,28156,2384,12579,1669,15577,1883,109111,5249,64057,4230,45054,3200,65339,4765,46703,3221,188980,6867
0400000US33,33,New Hampshire,519246,4617,424434,5868,4423,893,66430,3643,16004,1763,50426,3201,284491,5459,107605,4824,176886,5848,10565,1464,5391,941,5174,1189,6878,1093,2459,761,4419,851,36447,2919,18056,2047,18391,2288,15200,1905,19660,2383,75152,4376
0400000US34,34,New Jersey,3176139,9966,2534866,15657,22288,2212,222904,6946,81439,3802,141465,5560,1487840,13770,591936,10306,895904,13472,423220,9285,190326,5553,232894,6770,21809,2286,7718,1229,14091,2062,283279,7447,155681,5335,127598,5519,73526,5292,95701,5488,545572,9688
0400000US35,35,New Mexico,753507,6087,494646,7404,9424,1586,156049,6792,55713,3834,100336,5735,171981,5169,69901,3487,102080,4109,10627,1507,4894,1222,5733,1043,24579,2280,9475,1817,15104,1602,68840,4235,32744,3046,36096,3359,53146,4066,30756,3034,228105,5577
0400000US36,36,New York,7219356,14194,5490482,20978,52711,3098,541352,12002,157771,6216,383581,10082,3306517,21641,1173389,15159,2133128,19119,636930,11241,257238,7283,379692,8897,80729,4076,26081,2275,54648,3592,646399,10917,332720,8196,313679,8520,225844,7760,265302,8154,1463572,16601
0400000US37,37,North Carolina,3757480,13443,2699170,17267,37024,2770,633545,10988,223049,6667,410496,10282,1387170,14638,575262,11162,811908,12183,73040,4211,33554,3008,39486,2718,75777,4942,22880,2684,52897,4173,280933,7360,143672,5331,137261,5400,211681,6732,151998,6401,906312,12065
0400000US38,38,North Dakota,298298,2835,219629,4116,3430,678,47545,2634,18697,2195,28848,2299,87291,3735,38576,2724,48715,3382,18885,1586,7398,1154,11487,1259,6949,1006,2339,567,4610,810,37978,2683,19061,2139,18917,1991,17551,1988,17053,1835,61616,3091
0400000US39,39,Ohio,4564745,13440,3304808,18643,54701,2744,660587,11832,222835,7471,437752,9163,1761418,16445,681256,11065,1080162,13915,116434,5050,49448,3427,66986,3861,95636,4595,31473,3042,64163,3506,363205,9506,166443,6259,196762,7057,252827,7805,207686,7503,1052251,13540
0400000US40,40,Oklahoma,1447277,6526,980491,7821,15789,1386,246299,5319,91770,3623,154529,4542,397677,6089,171361,5196,226316,5655,32617,2241,15826,1330,16791,1699,66768,2529,21471,1738,45297,2088,106958,4187,58920,3276,48038,2919,114383,4619,82780,3837,384006,6069
0400000US41,41,Oregon,1523799,7789,1200305,10299,18972,2077,243916,6716,89740,4126,154176,5396,596893,8239,258963,6579,337930,6744,68627,3039,33282,2666,35345,2825,52911,2776,15050,1780,37861,2639,126137,5090,64073,3320,62064,3439,92849,5155,61677,4166,261817,8280
